image,k,space,vifp,psnr,ssim,dE00
fruit_stand,64,luv,0.384299,24.663212,0.841390,5.468994
fruit_stand,64,rgb,0.500960,28.093935,0.920463,6.181278
fruit_stand,64,xyz,0.438433,25.293174,0.890429,8.866858
fruit_stand,256,luv,0.515014,28.398918,0.916954,3.506910
fruit_stand,256,rgb,0.622662,32.170041,0.962455,3.951769
fruit_stand,256,xyz,0.548201,28.729429,0.939970,6.279282
fruits,4,luv,0.066423,14.299198,0.392889,16.984722
fruits,4,rgb,0.165012,17.751272,0.543834,16.433317
fruits,4,xyz,0.170302,16.328286,0.531964,20.109196
fruits,16,luv,0.188572,20.304511,0.575234,8.666411
fruits,16,rgb,0.281044,22.984097,0.693809,10.150303
fruits,16,xyz,0.276740,19.991922,0.653271,14.917624
