image,method,n_colors,psnr,ssim,time_ms,png_bytes
kodim21.png,pw_lab_now,256,37.952,0.9721,15838.6,222772
kodim21.png,pw_rgb_w,256,40.087,0.9838,14441.1,241304
kodim22.png,pw_lab,16,26.745,0.7653,1213.7,73614
kodim22.png,pw_lab_now,16,26.722,0.7658,1154.1,73582
kodim22.png,pw_rgb_w,16,28.462,0.8472,1018.0,89963
kodim22.png,pw_lab,32,28.88,0.8182,2158.2,97368
kodim22.png,pw_lab_now,32,28.855,0.8195,2410.9,97605
kodim22.png,pw_rgb_w,32,31.176,0.8901,2312.3,119292
kodim22.png,pw_lab,64,31.447,0.8776,4621.8,133083
kodim22.png,pw_lab_now,64,31.348,0.8771,3926.5,133880
kodim22.png,pw_rgb_w,64,33.584,0.9254,3898.3,157181
kodim22.png,pw_lab,128,33.374,0.9127,7771.6,179583
kodim22.png,pw_lab_now,128,33.38,0.9131,8246.5,178931
kodim22.png,pw_rgb_w,128,35.551,0.9503,7903.3,205722
kodim22.png,pw_lab,256,35.137,0.9396,14705.5,235015
kodim22.png,pw_lab_now,256,35.113,0.9401,16154.0,234497
kodim22.png,pw_rgb_w,256,37.48,0.9667,15097.0,259540
kodim23.png,pw_lab,16,24.825,0.7334,1340.7,32124
kodim23.png,pw_lab_now,16,24.833,0.7329,1326.4,31672
kodim23.png,pw_rgb_w,16,26.451,0.7676,1231.4,42292
kodim23.png,pw_lab,32,26.879,0.7615,2304.6,46918
kodim23.png,pw_lab_now,32,26.89,0.7606,2155.9,46264
kodim23.png,pw_rgb_w,32,28.624,0.816,1906.5,60441
kodim23.png,pw_lab,64,29.423,0.805,4000.2,66030
kodim23.png,pw_lab_now,64,29.401,0.8025,3844.6,67252
kodim23.png,pw_rgb_w,64,31.197,0.8621,3739.4,82398
kodim23.png,pw_lab,128,31.448,0.8459,7785.9,95063
kodim23.png,pw_lab_now,128,31.494,0.8466,8653.2,95487
kodim23.png,pw_rgb_w,128,33.599,0.8974,7565.6,112466
kodim23.png,pw_lab,256,33.739,0.8877,15757.5,131593
kodim23.png,pw_lab_now,256,33.747,0.8878,15615.3,131522
kodim23.png,pw_rgb_w,256,35.906,0.9325,15871.1,152531
kodim24.png,pw_lab,16,27.699,0.8589,1407.0,87166
kodim24.png,pw_lab_now,16,27.816,0.8657,1201.3,89252
kodim24.png,pw_rgb_w,16,29.785,0.9273,1039.7,105082
kodim24.png,pw_lab,32,30.332,0.9049,1953.4,111366
kodim24.png,pw_lab_now,32,30.298,0.906,2020.7,112649
kodim24.png,pw_rgb_w,32,32.185,0.9418,1868.4,135936
kodim24.png,pw_lab,64,32.518,0.9347,3932.4,144412
kodim24.png,pw_lab_now,64,32.5,0.9344,3727.3,144863
kodim24.png,pw_rgb_w,64,34.241,0.9616,3722.9,170373
kodim24.png,pw_lab,128,34.411,0.9555,8530.2,186916
kodim24.png,pw_lab_now,128,34.294,0.9539,7524.8,185359
kodim24.png,pw_rgb_w,128,36.608,0.9741,7655.2,214967
kodim24.png,pw_lab,256,36.194,0.9696,16557.6,240007
kodim24.png,pw_lab_now,256,36.223,0.9695,15203.6,240432
kodim24.png,pw_rgb_w,256,38.575,0.9837,16004.8,268518
